name_en,name_ar,category,subcategory,area,price_model,price_min_qar,price_max_qar,age_min,age_max,age_notes,free_flag,description_short_en,description_short_ar,sources,notes
Jungle Zone,منطقة الأدغال,paid_indoor,soft_play,Hyatt Plaza,per_ride,,,2,14,,0,"Classic rides — includes 'Mummy Ride'","ألعاب كلاسيكية بما فيها لعبة المومياء","Marhaba",
Fun City,فن سيتي,paid_indoor,soft_play,City Center Doha,card_topup,,,2,12,,0,"Soft play + rides","ملعب داخلي وألعاب","ILQ",
Ecolandia,إيكولانديا,paid_indoor,soft_play,"LuLu Mall, Giardino",per_hour,30,120,0,10,"QAR 30/hr ≤1yr; 65/hr or 120/3hrs for 2–10",0,"Ball pit, artificial sand pit","حوض كرات ورمل اصطناعي","Time Out Doha",
InflataPark,انفلاتا بارك,paid_indoor,soft_play,City Center Doha,per_session,35,225,4,14,"35 (25min) / 65 (50min); family pass 120/225",0,"Indoor inflatables","ألعاب منفوخة داخلية","KidsLoveQatar",
Yippy Land,يبي لاند,paid_indoor,soft_play,"PA Tower 17, The Pearl",card_topup,,,1,12,,0,"Toddler + older kids mix","مزيج للصغار والكبار","Marhaba",
Doha Toys Town,دوحة تويز تاون,paid_indoor,soft_play,Multiple,per_visit,55,80,2,14,"55 adult / 80 child (bundled coupons)",0,"Qatar's oldest indoor play spot","أقدم ملعب داخلي في قطر","ILQ",
Ray's Reef,ريف ريز,paid_indoor,soft_play,Lagoona Mall,varies,,,1,6,,0,"Toddler focus","تركيز على الصغار","Marhaba",
CurioCITY,كوريوسيتي,paid_indoor,premium_softplay,"PA Tower 17, The Pearl",per_activity,,,2,8,,0,"Reggio-inspired themed districts","مناطق مستلهمة من منهج ريجيو","Marhaba",
Doha Mall Play Area,منطقة الألعاب في دوحة مول,paid_indoor,soft_play,"Doha Mall, Ground Floor",per_session,40,65,2,10,"40 (30min) / 65 (60min)",0,"New — ball pit and slides","جديد — حوض كرات وزحاليق","KidsLoveQatar",
Magic Village,ماجيك فيلدج,paid_indoor,soft_play,Various,per_activity,,,3,10,,0,"Arts and crafts focus","تركيز على الفنون والحرف","Time Out Doha",
OliOli,أولي أولي,paid_indoor,play_museum,Katara Children's Mall,per_child,67,135,1,16,"135 (2–16) / 67 (12–23mo); 1 adult free",0,"Award-winning play museum — 40+ hands-on exhibits","متحف تفاعلي حائز على جوائز — أكثر من 40 معرضاً","Visit Qatar, Marhaba",
KidZania Doha,كيدزانيا الدوحة,paid_theme_park,role_play,Aspire,per_child,95,160,4,16,"95 (2–3 & 17+) / 160 (4–16)",0,"Role-play city","مدينة المهن","Visit Qatar",
KidzMondo Doha,كيدزموندو الدوحة,paid_theme_park,role_play,Mall of Qatar,varies,,,3,14,,0,"70+ professions — role-play edutainment city","أكثر من 70 مهنة — مدينة ترفيهية تعليمية","KidsLoveQatar",
Angry Birds World,عالم أنجري بيردز,paid_theme_park,themed,Doha Festival City,per_visit,100,250,2,14,"100 individual / 250 family card (min 50 top-up)",0,"Theme park with Hatchling soft play for younger kids","مدينة ملاهي بمنطقة هاتشلينج للصغار","Marhaba",
Doha Quest,دوحة كويست,paid_theme_park,rides,"Doha Oasis, Msheireb",per_ride,,,7,18,,0,"World's tallest indoor coaster","أطول أفعوانية داخلية في العالم","Visit Qatar",
Gondolania,جوندولانيا,paid_theme_park,rides,Villaggio Mall,per_ride,,,2,14,,0,"Ice rink, rides, soft play","حلبة تزلج وألعاب وملعب داخلي","Marhaba",
Snow Dunes,سنو ديونز,paid_theme_park,themed,Doha Festival City,per_package,180,420,3,16,"180 / 240 / 420 tiers",0,"Indoor snow","ثلج داخلي","Time Out Doha",
Virtuocity,فيرتوسيتي,paid_theme_park,gaming,Doha Festival City,card_topup,,,8,18,"E-gaming focus — older kids",0,"E-gaming focus","تركيز ألعاب إلكترونية","KidsLoveQatar",
Desert Falls Water Park,ديزرت فولز,paid_theme_park,waterpark,Hilton Salwa Beach,per_visit,195,250,0,18,"195 juniors / 250 adults. Seasonal",0,"Seasonal outdoor waterpark","متنزه مائي موسمي","Marhaba",
Meryal Waterpark,ميريال,paid_theme_park,waterpark,Qetaifan Island North,varies,,,4,18,,0,"World's tallest waterslide","أطول زحلوقة مائية في العالم","Visit Qatar",
Lusail Winter Wonderland,لوسيل ونتر ونديرلاند,paid_theme_park,themed,Al Maha Island,wristband,,,2,18,"Seasonal / winter only",0,"Winter-only outdoor theme park","حديقة ملاهي خارجية شتوية فقط","ILQ",
Baladna Park,حديقة بلدنا,paid_theme_park,farm,Al Khor,varies,,,0,14,,0,"Playgrounds + petting zoo","ملاعب ومزرعة تفاعلية","Marhaba",
IKEA Småland,إيكيا سمولاند,free_indoor,supervised_play,IKEA Doha Festival City,free,0,0,3,8,"Kids 95–130cm, 1hr for IKEA Family members",1,"Free supervised play for IKEA Family members","لعب مجاني بإشراف لأعضاء إيكيا فاميلي","IKEA Qatar",
LuLu Junior Play Area,منطقة لعب لولو جونيور,free_indoor,supervised_play,LuLu Al Sadd & LuLu Al Wakra,free,0,0,2,8,,1,"Free soft play zones","مناطق لعب داخلية مجانية","ILQ",
QNL Children's Library,مكتبة قطر الوطنية للأطفال,free_indoor,library,Education City,free,0,0,0,16,"Reading + activity rooms, regular programs",1,"Reading + activity rooms","قراءة وغرف أنشطة","QNL",
Maktaba,مكتبة,free_indoor,library,Various,free,0,0,3,12,,1,"Interactive storytelling + crafts","قراءة تفاعلية وحرف","QNL",
Dadu Children's Museum,دادو متحف الأطفال,free_indoor,museum,Museum of Islamic Art area,free_qm,0,0,3,12,"Free for QM card holders. Programming-dependent",1,"Check programming schedule","راجع جدول البرامج","Qatar Museums",
Old Doha Port Aquarium,حوض أسماك ميناء الدوحة,free_indoor,aquarium,"Grand Cruise Terminal, Old Doha Port",free,0,0,0,16,,1,"Walk-through aquarium with reef sharks and stingrays","حوض أسماك ممشى مع أسماك قرش وراي","Visit Qatar",
Doha Mall Mini Playground,ملعب دوحة مول الصغير,free_indoor,mall_play,"1st floor food court, Doha Mall",free,0,0,2,7,"Near Dairy Queen / Papa John's",1,"Swings + slides","أراجيح وزحاليق","ILQ",
Place Vendôme Fountain Plaza,ساحة نافورة بلاس فاندوم,free_indoor,mall_play,Lusail,free,0,0,0,14,,1,"Free to wander, fountain shows","تجول مجاني وعروض نوافير","Marhaba",
Katara Plaza Kid Zones,مناطق الأطفال في كتارا بلازا,free_indoor,mall_play,Katara,free,0,0,2,12,"Seasonal free kid activations",1,"Seasonal free kid activations","فعاليات موسمية مجانية","Katara",
Aspire Park,حديقة أسباير,free_outdoor,park,Baaya / Al Waab,free,0,0,0,18,,1,"Qatar's largest green space — playgrounds, lake, Torch Tower views","أكبر مساحة خضراء في قطر — ملاعب وبحيرة وإطلالة على الشعلة","Visit Qatar",
MIA Park,حديقة متحف الفن الإسلامي,free_outdoor,park,Corniche,free,0,0,0,18,"Open 24/7",1,"Skyline views, age-banded playgrounds, food trucks","إطلالات على الأفق وملاعب حسب العمر وعربات طعام","Visit Qatar",
NMoQ Park,حديقة متحف قطر,free_outdoor,park,National Museum of Qatar grounds,free,0,0,3,14,,1,"Cave of Wonders + Adventure Ship Playground","كهف العجائب وملعب سفينة المغامرة","Qatar Museums",
TotalEnergies Playground,ملعب توتال إنرجيز,free_outdoor,playground,Next to NMoQ,free,0,0,3,12,"Water play — bring spare clothes",1,"Energy-themed interactive playground","ملعب طاقة تفاعلي","Qatar Museums",
Al Bidda Park North,حديقة البدع الشمالية,free_outdoor,park,Corniche,free,0,0,0,14,,1,"Huge playground, zip line, musical equipment","ملعب كبير وزيبلاين وأدوات لعب موسيقية","Marhaba",
Al Bidda Park South,حديقة البدع الجنوبية,free_outdoor,park,Corniche,free,0,0,2,12,,1,"All-wooden ship + train playground","ملعب بسفينة خشبية وقطار","ILQ",
Oxygen Park,حديقة الأوكسجين,free_outdoor,park,Education City,free,0,0,0,18,"Mon/Wed ladies-only evenings. Free Thursday movie nights",1,"Running track, ladies-only evenings, free movie nights","مضمار وأمسيات للسيدات وأمسيات أفلام مجانية","Qatar Foundation",
Hotel Park,حديقة الفندق,free_outdoor,park,West Bay (behind Sheraton),free,0,0,0,14,,1,"Playgrounds, events, food festival venue","ملاعب وفعاليات ومهرجانات طعام","Marhaba",
Dahl Al Hammam Park,حديقة دحل الحمام,free_outdoor,park,Opposite Tawar Mall,free,0,0,0,16,,1,"3 playgrounds (age-banded) + skate park","3 ملاعب حسب العمر وحديقة سكيت","KidsLoveQatar",
Lusail Crescent Park,حديقة لوسيل الهلالية,free_outdoor,park,Lusail,free,0,0,2,10,,1,"Sand park with pirate ship, tiled crab, spiral slide","حديقة رملية بسفينة قراصنة وسرطان بلاط وزحلوقة","Marhaba",
The Pearl Park,حديقة اللؤلؤة,free_outdoor,park,The Pearl (behind Woqood station),free,0,0,1,7,,1,"Wooden playground + toddler swings","ملعب خشبي وأراجيح للصغار","ILQ",
West Bay Lagoon Playground,ملعب بحيرة الخليج الغربي,free_outdoor,playground,West Bay (near Newton Int'l),free,0,0,0,14,"Special needs play area",1,"Toddler + bigger kid + special needs play areas","أقسام للصغار والكبار وذوي الاحتياجات","Marhaba",
Msheireb Downtown Playground,ملعب مشيرب وسط البلد,free_outdoor,playground,Msheireb,free,0,0,3,10,,1,"Small but fun — rollerslide, climbing mountain, tall slide","صغير لكن ممتع — زحلوقة دولاب وتسلق وزحلوقة طويلة","KidsLoveQatar",
Katara Hills,تلال كتارا,free_outdoor,park,Katara,free,0,0,0,18,,1,"Landscaped gardens, kids walking paths","حدائق منسقة وممرات أطفال","Katara",
5/6 Park,حديقة 5/6,free_outdoor,park,Onaiza,free,0,0,0,18,,1,"Maze garden, bike paths, sunset skyline views","حديقة متاهة ومسارات دراجات وإطلالات غروب","ILQ",
Umm Al Seneem Park,حديقة أم السنيم,free_outdoor,park,Umm Al Seneem,free,0,0,0,14,,1,"Large community park with playground","حديقة مجتمعية كبيرة مع ملعب","Qatar Living",
Simaisma Family Beach Park,حديقة شاطئ سميسمة العائلي,free_outdoor,beach,Simaisma,free,0,0,0,14,,1,"Free beach + play structures","شاطئ مجاني وأدوات لعب","Marhaba",
Al Khor Family Park,حديقة الخور العائلية,free_outdoor,park,Al Khor,free,0,0,0,14,,1,"North coast family-friendly park","حديقة عائلية على الساحل الشمالي","ILQ",
Al Wakra Family Beach & Park,شاطئ وحديقة الوكرة العائلية,free_outdoor,beach,Al Wakra,free,0,0,0,14,,1,"Combined beach + playground","شاطئ وملعب مدمجان","Visit Qatar",
Katara Beach,شاطئ كتارا,free_outdoor,beach,Katara,free,0,0,0,18,"Paid private beach next door",1,"Free sandy beach access","دخول شاطئ رملي مجاني","Katara",
Corniche Playgrounds,ملاعب الكورنيش,free_outdoor,playground,Doha Corniche,free,0,0,0,14,"Dotted along 7km promenade",1,"Playgrounds along the 7km promenade","ملاعب على امتداد 7كم من الكورنيش","Visit Qatar",
